législature,prénom,nom,nom_complet,du,au,parti,circonscription
36,Thomas,Mulcair,Thomas Mulcair,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Chomedey
36,Denise,Carrier-Perreault,Denise Carrier-Perreault,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Chutes-de-la-Chaudière
36,Manon,Blanchet,Manon Blanchet,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Crémazie
36,Lawrence,Bergman,Lawrence Bergman,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,D'Arcy-McGee
36,Hélène,Robert,Hélène Robert,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Deux-Montagnes
36,Normand,Jutras,Normand Jutras,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Drummond
36,Jacques,Côté,Jacques Côté,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Dubuc
36,Normand,Duguay,Normand Duguay,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Duplessis
36,Joseph,Facal,Joseph Facal,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Fabre
36,Marc,Boulianne,Marc Boulianne,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Frontenac
36,Guy,Lelièvre,Guy Lelièvre,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Gaspé
36,Réjean,Lafrenière,Réjean Lafrenière,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Gatineau
36,André,Boisclair,André Boisclair,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Gouin
36,Robert,Kieffer,Robert Kieffer,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Groulx
36,Louise,Harel,Louise Harel,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Hochelaga-Maisonneuve
36,Roch,Cholette,Roch Cholette,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Hull
36,Jean-Paul,Bergeron,Jean-Paul Bergeron,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Iberville
36,Maxime,Arseneau,Maxime Arseneau,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Îles-de-la-Madeleine
36,Geoffrey,Kelley,Geoffrey Kelley,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Jacques-Cartier
36,Michel,Bissonnet,Michel Bissonnet,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Jeanne-Mance
36,Margaret,Delisle,Margaret Delisle,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Jean-Talon
36,Claude,Boucher,Claude Boucher,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Johnson
36,Guy,Chevrette,Guy Chevrette,1998-11-30T00:00:00Z,2002-01-28T00:00:00Z,PQ,Joliette
36,Sylvie,Lespérance,Sylvie Lespérance,2002-06-17T00:00:00Z,2003-04-13T00:00:00Z,ADQ,Joliette
36,Lucien,Bouchard,Lucien Bouchard,1998-11-30T00:00:00Z,2001-04-07T00:00:00Z,PQ,Jonquière
36,Françoise,Gauthier,Françoise Gauthier,2001-10-01T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Jonquière
